ProblemName,Permutation,T_nlp-bb-no-conflicts,T_nlp-bb-no-nlconflicts,T_nlp-bb-no-verifyproof,N_nlp-bb-no-conflicts,N_nlp-bb-no-nlconflicts,N_nlp-bb-no-verifyproof,DI_nlp-bb-no-conflicts,DI_nlp-bb-no-nlconflicts,DI_nlp-bb-no-verifyproof,TQ+1_nlp-bb-no-conflicts,TQ+1_nlp-bb-no-nlconflicts,TQ+1_nlp-bb-no-verifyproof,NQ+100_nlp-bb-no-conflicts,NQ+100_nlp-bb-no-nlconflicts,NQ+100_nlp-bb-no-verifyproof,DIQ_nlp-bb-no-conflicts,DIQ_nlp-bb-no-nlconflicts,DIQ_nlp-bb-no-verifyproof
autocorr_bern30-30,2,7200,7200,7200,2476,2509,3609,688148.34,688179.25,688172.46,1,1,1,1,1.01281055900621,1.43982919254658,1,1.00004491764087,1.00003505058226
autocorr_bern35-09,0,7200,7200,7200,27535,25229,25285,679490.95,430301.14,431562.79,1,1,1,1,0.91655509317894,0.918581508956034,1,0.633269861798748,0.635126619420023
autocorr_bern35-09,1,7200,7200,7200,26844,24324,25307,679490.58,431000.04,432265.85,1,1,1,1,0.906472684085511,0.942955760095012,1,0.634298771294225,0.636161652160064
autocorr_bern35-09,2,7200,7200,7200,26312,24927,24774,679490.18,431408.63,431119.9,1,1,1,1,0.947561714372255,0.941768892927457,1,0.634900463167841,0.634475541648004
autocorr_bern35-18,0,7200,7200,7200,3965,5457,3888,687317.66,687333.52,687337.09,1,1,1,1,1.3670356703567,0.981057810578106,1,1.00002307521096,1.00002826931582
autocorr_bern35-18,1,7200,7200,7200,3959,3909,3915,687317.33,687337.02,687337.45,1,1,1,1,0.987681694998768,0.989159891598916,1,1.00002864761172,1.0000292732325
autocorr_bern35-18,2,7200,7200,7200,3961,4924,4478,687315.32,687333.84,687335.12,1,1,1,1,1.23713371090864,1.12730854469343,1,1.00002694542004,1.00002880773849
autocorr_bern35-26,0,7200,7200,7200,2830,2060,2054,688892.49,688893.5,688893.82,1,1,1,1,0.737201365187713,0.735153583617747,1,1.00000146612137,1.00000193063507
autocorr_bern35-26,1,7200,7200,7200,2067,2389,2053,688894.08,688887.32,688890.73,1,1,1,1,1.14859252422704,0.99353945546839,1,0.999990187170718,0.999995137133418
autocorr_bern35-26,2,7200,7200,7200,2068,2397,2953,688895.82,688885.97,688885.7,1,1,1,1,1.15175276752768,1.40821033210332,1,0.999985701756762,0.999985309825222
autocorr_bern35-35fix,0,7200,7200,7200,1627,1761,1591,720000,720000,720000,1,1,1,1,1.07759119861031,0.979154603358425,1,1,1
autocorr_bern35-35fix,1,7200,7200,7200,1626,2865,1595,720000,720000,720000,1,1,1,1,1.71784472769409,0.982039397450753,1,1,1
autocorr_bern35-35fix,2,7200,7200,7200,1631,2299,1596,720000,720000,720000,1,1,1,1,1.38590410167533,0.979780473714616,1,1,1
autocorr_bern40-05,0,7200,7200,7200,91115,88242,88601,656626.88,52236.22,52283.94,1,1,1,1,0.96850298744724,0.972438743627693,1,0.0795523631320119,0.0796250375860337
autocorr_bern40-05,1,7200,7200,7200,91551,88778,88941,656626.95,52191.1,52133.05,1,1,1,1,0.969743919869942,0.971522405647511,1,0.0794836398353738,0.0793952334731311
autocorr_bern40-05,2,7200,7200,7200,91034,88515,89350,656627.3,52261.83,52163.6,1,1,1,1,0.972359382886738,0.981521715276406,1,0.079591314585915,0.0794417167851535
autocorr_bern40-10,0,7200,7200,7200,14372,13035,14747,682854.46,682765.3,682765.89,1,1,1,1,0.907614704256495,1.02591210613599,1,0.999869430449352,0.999870294469483
autocorr_bern40-10,1,7200,7200,7200,14526,13356,13358,682854.47,682765.82,682763.95,1,1,1,1,0.920005469711473,0.920142212498291,1,0.999870177316112,0.99986743881167
autocorr_bern40-10,2,7200,7200,7200,14657,14643,14210,682853.58,682765.84,682764.18,1,1,1,1,0.999051297689232,0.9697092905062,1,0.999871509789844,0.999869078814817
autocorr_bern40-20,0,7200,7200,7200,3405,2316,2338,688321.25,688346.05,688338.4,1,1,1,1,0.689300998573467,0.695577746077033,1,1.00003602968817,1.00002491569162
autocorr_bern40-20,1,7200,7200,7200,2324,2330,2333,688322.6,688342.18,688342.57,1,1,1,1,1.00247524752475,1.00371287128713,1,1.00002844596415,1.00002901255894
autocorr_bern40-20,2,7200,7200,7200,2328,2913,2320,688324.41,688337.63,688338.29,1,1,1,1,1.24093904448105,0.99670510708402,1,1.00001920606012,1.00002016491032
autocorr_bern40-30,0,7200,7200,7200,1113,1095,1094,690078.38,690126.93,690124.36,1,1,1,1,0.985160758450124,0.984336356141797,1,1.000070354327,1.00006663011236
autocorr_bern40-30,1,7200,7200,7200,1110,1091,1091,690083.24,690130.64,690129.85,1,1,1,1,0.984297520661157,0.984297520661157,1,1.00006868736589,1.00006754257646
