ProblemName,Permutation,T_lp-bb,T_lp-bb-confgraph,T_lp-bb-no-lp,N_lp-bb,N_lp-bb-confgraph,N_lp-bb-no-lp,DI_lp-bb,DI_lp-bb-confgraph,DI_lp-bb-no-lp,TQ+1_lp-bb,TQ+1_lp-bb-confgraph,TQ+1_lp-bb-no-lp,NQ+100_lp-bb,NQ+100_lp-bb-confgraph,NQ+100_lp-bb-no-lp,DIQ_lp-bb,DIQ_lp-bb-confgraph,DIQ_lp-bb-no-lp
autocorr_bern40-05,2,7200,7200,7200,1204905,1190165,1184934,40016.51,40045.08,515880.31,1,1,1,1.01685268102012,1.00441421933885,1,0.0775693687553223,0.077624749818422,1
autocorr_bern40-10,0,7200,7200,7200,193733,219963,212755,180593.47,180062.98,179238.82,1,1,1,0.910633999671138,1.03386342815532,1,1.0075577935628,1.00459811105652,1
autocorr_bern40-10,1,7200,7200,7200,194345,219212,212266,179386.43,180532.64,180020.83,1,1,1,0.915612668694612,1.0327076839042,1,0.996475963364906,1.00284305988368,1
autocorr_bern40-10,2,7200,7200,7200,194345,219391,212642,178979.53,180478.77,179640.04,1,1,1,0.913994415771216,1.031723872108,1,0.996323147111301,1.00466894796951,1
autocorr_bern40-20,0,7200,7200,7200,31144,33295,32585,647627.6,647423.4,647124.73,1,1,1,0.955912498087808,1.02172250267707,1,1.00077708357707,1.00046153389935,1
autocorr_bern40-20,1,7200,7200,7200,31353,32891,32731,647353.01,647261.33,646851.57,1,1,1,0.958027474033688,1.00487344278274,1,1.00077520102487,1.00063346835504,1
autocorr_bern40-20,2,7200,7200,7200,31314,33111,32693,647382.08,647238.17,646883.93,1,1,1,0.957948342634099,1.01274662275486,1,1.00077007632575,1.00054760983164,1
autocorr_bern40-30,0,7200,7200,7200,1671,10291,10114,673931.55,665257.8,665463.87,1,1,1,0.173389465439593,1.01732915606031,1,1.01272447743857,0.999690336306312,1
autocorr_bern40-30,1,7200,7200,7200,1671,10229,10142,673934.42,665225.31,665461.42,1,1,1,0.172915446201914,1.00849443468073,1,1.01273251873865,0.999645193556074,1
autocorr_bern40-30,2,7200,7200,7200,1671,10221,10181,673945.83,665318.29,665434.85,1,1,1,0.172259507829978,1.00389067211361,1,1.01279010259231,0.999824836345737,1
