ProblemName,Permutation,T_lp-bb,T_lp-bb-local-dual-proofs,T_lp-bb-no-lp,N_lp-bb,N_lp-bb-local-dual-proofs,N_lp-bb-no-lp,DI_lp-bb,DI_lp-bb-local-dual-proofs,DI_lp-bb-no-lp,TQ+1_lp-bb,TQ+1_lp-bb-local-dual-proofs,TQ+1_lp-bb-no-lp,NQ+100_lp-bb,NQ+100_lp-bb-local-dual-proofs,NQ+100_lp-bb-no-lp,DIQ_lp-bb,DIQ_lp-bb-local-dual-proofs,DIQ_lp-bb-no-lp
autocorr_bern50-06,1,7200,7200,7200,619656,618906,670193,450243.82,449788.48,234596.93,1,1,1,0.924604613206463,0.923485699537366,1,1.91922298386428,1.91728203774875,1
autocorr_bern50-06,2,7200,7200,7200,623547,628106,593334,149091.55,209335.92,125025.9,1,1,1,1.05091214861299,1.05859455305898,1,1.19248531704231,1.67434043666152,1
autocorr_bern50-13,0,7200,7200,7200,27,27,27,748302,745036.03,748104.31,1,1,1,1,1,1,1.00026425459305,0.99589859333921,1
autocorr_bern50-13,1,7200,7200,7200,27,27,27,748235.35,747162.27,744795.35,1,1,1,1,1,1,1.00461871841708,1.00317794680109,1
autocorr_bern50-13,2,7200,7200,7200,27,27,27,748223.94,749885.32,748254.15,1,1,1,1,1,1,0.999959626017443,1.00217996786252,1
autocorr_bern50-25,0,7200,7200,7200,1667,1676,1366,669539.8,669518.39,671040.32,1,1,1,1.20532060027285,1.21145975443383,1,0.997763889955227,0.997731984271824,1
autocorr_bern50-25,1,7200,7200,7200,1684,1680,1356,669491.7,669507.21,671097.41,1,1,1,1.22527472527473,1.22252747252747,1,0.997607336914026,0.99763044831301,1
autocorr_bern50-25,2,7200,7200,7200,1680,1681,1364,669510.51,669502.33,671058.68,1,1,1,1.21584699453552,1.21653005464481,1,0.99769294393152,0.997680754237468,1
autocorr_bern50-38,0,7200,7200,7200,,,,720000,720000,720000,1,1,1,0,0,0,1,1,1
autocorr_bern50-38,1,7200,7200,7200,,,,720000,720000,720000,1,1,1,0,0,0,1,1,1
autocorr_bern50-38,2,7200,7200,7200,,,,720000,720000,720000,1,1,1,0,0,0,1,1,1
autocorr_bern50-50,0,7200,7200,7200,623,625,627,678686.69,678670.32,678690.1,1,1,1,0.994497936726272,0.997248968363136,1,0.999994975615527,0.999970855623207,1
autocorr_bern50-50,1,7200,7200,7200,627,625,625,678683.09,678667.85,678657.53,1,1,1,1.00275862068966,1,1,1.00003766258955,1.00001520649156,1
autocorr_bern50-50,2,7200,7200,7200,624,624,627,678682.43,678671.02,678686.57,1,1,1,0.995873452544704,0.995873452544704,1,0.999993899982432,0.999977088098266,1
autocorr_bern55-06,0,7200,7200,7200,411382,419612,422642,362554.85,550727.3,385983.47,1,1,1,0.973364368811237,0.992832507770697,1,0.939301493921488,1.42681576493418,1
autocorr_bern55-06,1,7200,7200,7200,480353,480776,487076,261395.54,261095.01,534682.64,1,1,1,0.986200059116213,0.987068328489088,1,0.488879796059958,0.488317724323348,1
autocorr_bern55-06,2,7200,7200,7200,419246,419666,472967,630374.9,630351.75,630233.21,1,1,1,0.886441032665563,0.887328856166251,1,1.00022482153868,1.00018808910435,1
autocorr_bern55-14,0,7200,7200,7200,19,19,19,731266.28,730358.15,732960.22,1,1,1,1,1,1,0.997688905954542,0.99644991647705,1
autocorr_bern55-14,1,7200,7200,7200,19,19,19,729872.84,731772.64,732287.54,1,1,1,1,1,1,0.996702524803303,0.999296860902481,1
autocorr_bern55-14,2,7200,7200,7200,19,19,19,731069.06,730654.52,733733.25,1,1,1,1,1,1,0.996368993772601,0.995804020057698,1
autocorr_bern55-28,0,7200,7200,7200,25,25,25,846467.09,847662.8,848217.13,1,1,1,1,1,1,0.997936801865815,0.9993464762967,1
autocorr_bern55-28,1,7200,7200,7200,25,25,25,851472.19,845348.06,848984.23,1,1,1,1,1,1,1.00293051379765,0.995717034696864,1
autocorr_bern55-28,2,7200,7200,7200,25,25,25,845275.71,849637.84,850527.45,1,1,1,1,1,1,0.993825313927258,0.998954049043332,1
autocorr_bern55-41,0,7200,7200,7200,474,467,485,681805.23,681807.72,681816.38,1,1,1,0.981196581196581,0.969230769230769,1,0.99998364662345,0.999987298633101,1
autocorr_bern55-41,1,7200,7200,7200,455,474,484,681815.89,681804.12,681846.04,1,1,1,0.950342465753425,0.982876712328767,1,0.999955781806696,0.99993851984533,1
autocorr_bern55-41,2,7200,7200,7200,,,,720000,720000,720000,1,1,1,0,0,0,1,1,1
autocorr_bern55-55,1,7200,7200,7200,,,,720000,720000,720000,1,1,1,0,0,0,1,1,1
autocorr_bern55-55,2,7200,7200,7200,,,,720000,720000,720000,1,1,1,0,0,0,1,1,1
autocorr_bern60-08,0,7200,7200,7200,98005,98234,95554,656752.37,656739.35,656849.15,1,1,1,1.02562360173124,1.02801764693583,1,0.999852660234089,0.999832838331297,1
autocorr_bern60-08,1,7200,7200,7200,99035,98814,99036,656639.53,656653.82,656640.98,1,1,1,0.999989912846998,0.99776065203357,1,0.999997791791795,1.00001955406438,1
autocorr_bern60-08,2,7200,7200,7200,98802,98683,98364,656683.48,656682.48,656696.91,1,1,1,1.00444832629184,1.00323976275593,1,0.99997954916523,0.999978026392724,1
autocorr_bern60-15,0,7200,7200,7200,25,25,25,1301875.26,1301486.31,1298909.45,1,1,1,1,1,1,1.00228330773943,1.00198386423318,1
autocorr_bern60-15,1,7200,7200,7200,25,25,25,1296441.24,1302623.95,1295480.89,1,1,1,1,1,1,1.00074130773168,1.00551382892263,1
autocorr_bern60-15,2,7200,7200,7200,25,25,25,1300227.73,1296686.18,1297513.37,1,1,1,1,1,1,1.0020919707363,0.999362480557715,1
autocorr_bern60-30,0,7200,7200,7200,,,,720000,720000,720000,1,1,1,0,0,0,1,1,1
autocorr_bern60-30,1,7200,7200,7200,,,,720000,720000,720000,1,1,1,0,0,0,1,1,1
autocorr_bern60-30,2,7200,7200,7200,,,,720000,720000,720000,1,1,1,0,0,0,1,1,1
autocorr_bern60-45,0,7200,7200,7200,20,20,20,683915.82,683911.78,683912.94,1,1,1,1,1,1,1.0000042110623,0.999998303877684,1
autocorr_bern60-45,1,7200,7200,7200,20,20,20,683953.6,683932.45,683922.64,1,1,1,1,1,1,1.00004526827771,1.00001434372753,1
autocorr_bern60-45,2,7200,7200,7200,20,20,20,683911.43,683950.19,683939,1,1,1,1,1,1,0.999959689387504,1.00001636110823,1
autocorr_bern60-60,0,7200,7200,7200,9,8,8,684456.15,684490.75,684444.55,1,1,1,1.00925925925926,1,1,1.00001694804933,1.00006749998959,1
autocorr_bern60-60,1,7200,7200,7200,8,8,8,684487.82,684480.32,684450.19,1,1,1,1,1,1,1.00005497843459,1.00004402073436,1
autocorr_bern60-60,2,7200,7200,7200,9,8,8,684436.08,684437.71,684465.54,1,1,1,1.00925925925926,1,1,0.999956959118789,0.999959340538897,1
ball_mk2_10,0,0.5,0.5,0.5,1,1,1,0,0,720000,1,1,1,1,1,1,0,0,1
ball_mk2_10,1,0.5,0.5,0.5,1,1,1,720000,0,0,1,1,1,1,1,1,inf,0,0
ball_mk2_10,2,0.5,0.5,0.5,1,1,1,0,0,0,1,1,1,1,1,1,0,0,0
ball_mk2_30,0,0.5,0.5,0.5,1,1,1,0,0,0,1,1,1,1,1,1,0,0,0
ball_mk2_30,1,0.5,0.5,0.5,1,1,1,0,0,0,1,1,1,1,1,1,0,0,0
ball_mk2_30,2,0.5,0.5,0.5,1,1,1,0,0,0,1,1,1,1,1,1,0,0,0
ball_mk3_10,0,0.5,0.5,0.5,0,0,0,720000,720000,720000,1,1,1,1,1,1,1,1,1
ball_mk3_10,1,0.5,0.5,0.5,0,0,0,720000,720000,720000,1,1,1,1,1,1,1,1,1
ball_mk3_10,2,0.5,0.5,0.5,0,0,0,720000,720000,720000,1,1,1,1,1,1,1,1,1
ball_mk3_20,0,0.5,0.5,0.5,1,1,1,720000,720000,720000,1,1,1,1,1,1,1,1,1
ball_mk3_20,1,0.5,0.5,0.5,1,1,1,720000,720000,720000,1,1,1,1,1,1,1,1,1
ball_mk3_20,2,0.5,0.5,0.5,1,1,1,720000,720000,720000,1,1,1,1,1,1,1,1,1
ball_mk3_30,0,0.5,0.5,0.5,1,1,1,720000,720000,720000,1,1,1,1,1,1,1,1,1
ball_mk3_30,1,0.5,0.5,0.5,1,1,1,720000,720000,720000,1,1,1,1,1,1,1,1,1
ball_mk3_30,2,0.5,0.5,0.5,1,1,1,720000,720000,720000,1,1,1,1,1,1,1,1,1
